id,question,intent,split,language,domain,source_type_hint,requires_context
HOWIE-SUM-025,What is the main result of the publication?,SUMMARY,dev,en,higher_education_research,mixed,false
HOWIE-SUM-026,Summarize the findings from the tables and text together.,SUMMARY,test,en,higher_education_research,mixed,false
HOWIE-SUM-027,What does this report reveal about student wellbeing?,SUMMARY,test,en,higher_education_research,mixed,false
HOWIE-SUM-028,Can you summarize the evidence without too much detail?,SUMMARY,test,en,higher_education_research,mixed,false
HOWIE-SUM-029,What are the most relevant findings for university managers?,SUMMARY,test,en,higher_education_research,mixed,false
HOWIE-SUM-030,Give me the main points from the study in simple terms.,SUMMARY,test,en,higher_education_research,mixed,false
HOWIE-COM-001,How does study A differ from study B in its findings?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-002,Compare the results for Germany and France.,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-003,What differences are reported between bachelor and master students?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-004,How do the 2018 and 2021 survey results compare?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-005,Compare student mobility patterns across countries.,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-006,How does the methodology differ between these two reports?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-007,What are the differences between universities and universities of applied sciences?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-008,Compare the findings for first-generation and continuing-generation students.,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-009,How do domestic and international students differ in financial stress?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-010,Which study reports higher dropout risks?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-011,Compare the results by gender.,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-012,How does the policy brief differ from the full research report?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-013,What changed between the previous and current data collection waves?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-014,Compare employment rates across fields of study.,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-015,How do survey-based findings differ from administrative data findings?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-016,What are the similarities between the two student finance studies?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-017,Which country shows stronger growth in student mobility?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-018,Compare the outcomes for rural and urban students.,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-019,How do the conclusions differ across the publications?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-020,What differences exist between qualitative and quantitative findings?,COMPARISON,train,en,higher_education_research,mixed,false
HOWIE-COM-021,Compare the reported barriers for low-income and high-income students.,COMPARISON,dev,en,higher_education_research,mixed,false
HOWIE-COM-022,How does student housing affordability vary by city type?,COMPARISON,dev,en,higher_education_research,mixed,false
HOWIE-COM-023,Which dataset provides more detailed evidence?,COMPARISON,dev,en,higher_education_research,mixed,false
HOWIE-COM-024,Compare the study design of EUROSTUDENT and the German student survey.,COMPARISON,dev,en,higher_education_research,mixed,false
HOWIE-COM-025,How do findings differ between full-time and part-time students?,COMPARISON,dev,en,higher_education_research,mixed,false
HOWIE-COM-026,What contrasts appear between policy recommendations and empirical findings?,COMPARISON,test,en,higher_education_research,mixed,false
HOWIE-COM-027,Compare the indicators used in both reports.,COMPARISON,test,en,higher_education_research,mixed,false
HOWIE-COM-028,How do doctoral candidates and postdocs differ in career uncertainty?,COMPARISON,test,en,higher_education_research,mixed,false
HOWIE-COM-029,Which group experienced the largest increase in financial pressure?,COMPARISON,test,en,higher_education_research,mixed,false
HOWIE-COM-030,What are the main differences across the three studies?,COMPARISON,test,en,higher_education_research,mixed,false
HOWIE-MET-001,How was the data collected?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-002,What survey design was used in the study?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-003,Who were the participants in the student mobility survey?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-004,What sampling strategy did the researchers use?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-005,How were students recruited for the questionnaire?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-006,What is the methodological context of this report?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-007,Which variables were used to measure social background?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-008,How was international mobility operationalized?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-009,What data sources does the study rely on?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-010,Was the study cross-sectional or longitudinal?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-011,How were missing values handled in the analysis?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-012,What weighting procedure was applied to the survey data?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-013,Which statistical method was used to estimate the effects?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-014,What is the unit of analysis in the dataset?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-015,How were the interviews coded?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-016,What is the difference between the gross and net sample?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-017,Which population does the survey represent?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-018,How was study dropout defined in the analysis?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-019,What questionnaire items were used for financial hardship?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-020,How were country comparisons standardized?,METHOD_CONTEXT,train,en,higher_education_research,mixed,false
HOWIE-MET-021,What is the source of the administrative data?,METHOD_CONTEXT,dev,en,higher_education_research,mixed,false
HOWIE-MET-022,What time period does the dataset cover?,METHOD_CONTEXT,dev,en,higher_education_research,mixed,false
HOWIE-MET-023,How were fields of study categorized?,METHOD_CONTEXT,dev,en,higher_education_research,mixed,false
HOWIE-MET-024,What inclusion criteria were used for participants?,METHOD_CONTEXT,dev,en,higher_education_research,mixed,false
HOWIE-MET-025,How were qualitative cases selected?,METHOD_CONTEXT,dev,en,higher_education_research,mixed,false
HOWIE-MET-026,What model specification is used in the regression analysis?,METHOD_CONTEXT,test,en,higher_education_research,mixed,false
HOWIE-MET-027,How were confidence intervals calculated?,METHOD_CONTEXT,test,en,higher_education_research,mixed,false
HOWIE-MET-028,Which metadata describe the dataset?,METHOD_CONTEXT,test,en,higher_education_research,mixed,false
HOWIE-MET-029,What does the report say about data quality checks?,METHOD_CONTEXT,test,en,higher_education_research,mixed,false
HOWIE-MET-030,How was the indicator constructed?,METHOD_CONTEXT,test,en,higher_education_research,mixed,false
HOWIE-LIM-001,What are the limitations of this study?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-002,What caveats should I consider when using these findings?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-003,Are there any biases in the survey sample?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-004,What weaknesses does the report mention?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-005,How reliable are the results for small subgroups?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-006,What uncertainty is associated with the estimates?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-007,Does the study discuss missing data as a limitation?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-008,What are the methodological constraints of the analysis?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-009,Can these findings be generalized to all students?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-010,What limitations apply to the country comparison?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-011,Are there risks of self-selection in the sample?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-012,What does the paper say about measurement error?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-013,Which findings should be interpreted cautiously?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-014,What are the limitations of using cross-sectional data here?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-015,Does the report warn against causal interpretation?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-016,What are the known data quality issues?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-017,Where might the evidence be incomplete?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-018,What are the boundaries of the study's conclusions?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-019,What potential confounders are not fully addressed?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-020,How does the study handle uncertainty in the results?,LIMITATION,train,en,higher_education_research,mixed,false
HOWIE-LIM-021,What are the limits of the mobility indicator?,LIMITATION,dev,en,higher_education_research,mixed,false
HOWIE-LIM-022,Does the analysis exclude any relevant student groups?,LIMITATION,dev,en,higher_education_research,mixed,false
HOWIE-LIM-023,What limitations are caused by the questionnaire design?,LIMITATION,dev,en,higher_education_research,mixed,false
HOWIE-LIM-024,Are the findings affected by non-response bias?,LIMITATION,dev,en,higher_education_research,mixed,false
HOWIE-LIM-025,What should I be careful about when citing this result?,LIMITATION,dev,en,higher_education_research,mixed,false
HOWIE-LIM-026,Which claims are not supported by the data?,LIMITATION,test,en,higher_education_research,mixed,false
HOWIE-LIM-027,What are the weaknesses of the qualitative sample?,LIMITATION,test,en,higher_education_research,mixed,false
HOWIE-LIM-028,Does the report mention comparability problems?,LIMITATION,test,en,higher_education_research,mixed,false
HOWIE-LIM-029,What are the limitations of the policy recommendation?,LIMITATION,test,en,higher_education_research,mixed,false
HOWIE-LIM-030,Where does the evidence remain inconclusive?,LIMITATION,test,en,higher_education_research,mixed,false
HOWIE-TRE-001,What trend do we see in enrollment over time?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-002,How has student mobility changed since 2018?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-003,Are financial difficulties increasing or decreasing?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-004,What pattern appears in dropout rates across cohorts?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-005,How did international enrollment develop over the last decade?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-006,What changes are visible between the survey waves?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-007,Is there a long-term trend in student employment?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-008,How have living costs for students evolved?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-009,What trajectory is shown for first-generation student participation?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-010,Are differences between countries widening or narrowing?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-011,What pattern can be observed across age groups?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-012,How did doctoral career expectations change over time?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-013,What trend is visible in public financial aid usage?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-014,Do the data show seasonal patterns in applications?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-015,How has the share of part-time students changed?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-016,What development is reported for digital learning participation?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-017,Are housing problems becoming more common?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-018,What pattern is visible in field-of-study choices?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-019,How has student wellbeing changed across survey years?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-020,Is there a decline in study-abroad participation?,TREND_PATTERN,train,en,higher_education_research,mixed,false
HOWIE-TRE-021,What trend appears in graduation rates?,TREND_PATTERN,dev,en,higher_education_research,mixed,false
HOWIE-TRE-022,How have regional differences developed?,TREND_PATTERN,dev,en,higher_education_research,mixed,false
HOWIE-TRE-023,Are mobility rates stable across the observation period?,TREND_PATTERN,dev,en,higher_education_research,mixed,false
HOWIE-TRE-024,What pattern emerges when comparing multiple cohorts?,TREND_PATTERN,dev,en,higher_education_research,mixed,false
HOWIE-TRE-025,How has the composition of the student body changed?,TREND_PATTERN,dev,en,higher_education_research,mixed,false
HOWIE-TRE-026,What trajectory does the report show for research funding?,TREND_PATTERN,test,en,higher_education_research,mixed,false
HOWIE-TRE-027,Do we see a shift in students' income sources?,TREND_PATTERN,test,en,higher_education_research,mixed,false
HOWIE-TRE-028,How has the gender gap developed over time?,TREND_PATTERN,test,en,higher_education_research,mixed,false
HOWIE-TRE-029,What pattern appears in the use of advisory services?,TREND_PATTERN,test,en,higher_education_research,mixed,false
HOWIE-TRE-030,What are the main changes from the baseline year to the latest year?,TREND_PATTERN,test,en,higher_education_research,mixed,false
HOWIE-EXP-001,Why did mobility rates decrease?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-002,How can the increase in student financial stress be explained?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-003,Why are first-generation students less likely to study abroad?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-004,What explains the difference between countries?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-005,Why did dropout risk rise in the latest cohort?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-006,How does the report explain changes in enrollment?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-007,Why might international students report higher housing problems?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-008,What factors contributed to the observed trend?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-009,Why are some fields of study associated with higher employment rates?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-010,How do the authors explain regional differences?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-011,Why does social background matter for higher education access?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-012,What reasons are given for lower participation in mobility programs?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-013,How can the gender difference in career expectations be understood?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-014,Why did the indicator change after the new survey wave?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-015,What mechanisms are suggested by the study?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-016,How does the study explain the link between income and study progress?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-017,Why are part-time students more affected by time constraints?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-018,What explains the gap between universities and applied sciences?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-019,Why might survey results differ from administrative records?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-020,How do the findings account for differences in student wellbeing?,EXPLANATION,train,en,higher_education_research,mixed,false
HOWIE-EXP-021,Why did the authors choose this explanation?,EXPLANATION,dev,en,higher_education_research,mixed,false
HOWIE-EXP-022,What does the evidence suggest caused the decline?,EXPLANATION,dev,en,higher_education_research,mixed,false
HOWIE-EXP-023,Why are older students more likely to work during studies?,EXPLANATION,dev,en,higher_education_research,mixed,false
HOWIE-EXP-024,How can the observed pattern in financial aid be interpreted causally or non-causally?,EXPLANATION,dev,en,higher_education_research,mixed,false
HOWIE-EXP-025,Why does the study emphasize institutional context?,EXPLANATION,dev,en,higher_education_research,mixed,false
HOWIE-EXP-026,What explains the change in study-abroad intentions?,EXPLANATION,test,en,higher_education_research,mixed,false
HOWIE-EXP-027,Why do students from rural areas face different barriers?,EXPLANATION,test,en,higher_education_research,mixed,false
HOWIE-EXP-028,How do economic conditions help explain the findings?,EXPLANATION,test,en,higher_education_research,mixed,false
HOWIE-EXP-029,Why is the effect stronger for one subgroup?,EXPLANATION,test,en,higher_education_research,mixed,false
HOWIE-EXP-030,What are the likely reasons behind the reported outcome?,EXPLANATION,test,en,higher_education_research,mixed,false
HOWIE-SOU-001,Which study reported this finding?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-002,Where does this number come from?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-003,Can you cite the source for that statement?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-004,Which report contains the evidence on student mobility?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-005,What is the original publication behind this result?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-006,Which page supports this claim?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-007,Can you show the citation for the dropout rate?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-008,Which table reports the sample size?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-009,What source did you use for this answer?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-010,Which dataset is referenced for this statistic?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-011,Can you provide the bibliographic reference?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-012,Where is this result documented in the paper?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-013,Which DZHW publication mentions this limitation?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-014,What is the DOI of the cited study?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-015,Which source supports the comparison between countries?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-016,Can you point me to the exact report title?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-017,Which figure shows the trend you described?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-018,Where is the methodology described in the original source?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-019,Which evidence base supports this conclusion?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-020,Can you identify the source document for this claim?,SOURCE_SEEKING,train,en,higher_education_research,mixed,false
HOWIE-SOU-021,What citation should I use for the student finance finding?,SOURCE_SEEKING,dev,en,higher_education_research,mixed,false
HOWIE-SOU-022,Which publication contains this policy recommendation?,SOURCE_SEEKING,dev,en,higher_education_research,mixed,false
HOWIE-SOU-023,Can you show the source for the interpretation?,SOURCE_SEEKING,dev,en,higher_education_research,mixed,false
HOWIE-SOU-024,Where did the estimate of financial hardship come from?,SOURCE_SEEKING,dev,en,higher_education_research,mixed,false
HOWIE-SOU-025,Which appendix contains the measurement details?,SOURCE_SEEKING,dev,en,higher_education_research,mixed,false
HOWIE-SOU-026,What report should I cite for the mobility indicator?,SOURCE_SEEKING,test,en,higher_education_research,mixed,false
HOWIE-SOU-027,Which chapter provides the evidence?,SOURCE_SEEKING,test,en,higher_education_research,mixed,false
HOWIE-SOU-028,Can you list the sources used in this answer?,SOURCE_SEEKING,test,en,higher_education_research,mixed,false
HOWIE-SOU-029,What is the source of the country-level comparison?,SOURCE_SEEKING,test,en,higher_education_research,mixed,false
HOWIE-SOU-030,Which paper first reported this result?,SOURCE_SEEKING,test,en,higher_education_research,mixed,false
HOWIE-NAV-001,Where can I find the section on student mobility?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-002,Show me where the report discusses financial aid.,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-003,Which part of the corpus covers doctoral careers?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-004,Where should I look for data on study dropout?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-005,Can you direct me to the chapter about methodology?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-006,Where in the system can I find policy briefs?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-007,Which document section explains the indicators?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-008,Where can I browse reports about student housing?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-009,Take me to the page with country comparisons.,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-010,Where is the dashboard for international students?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-011,Which area of the portal contains survey metadata?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-012,Where can I find related publications on social inequality?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-013,Show me the relevant section of the data portal.,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-014,Where should I search for tables on enrollment?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-015,Can you help me locate the appendix on sampling?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-016,Which folder contains the EUROSTUDENT reports?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-017,Where can I find the overview page for this project?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-018,Navigate to the report section about study conditions.,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-019,Where are the German-language intelligence briefs listed?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-020,Which part of the website has information on the student survey?,NAVIGATION,train,en,higher_education_research,mixed,false
HOWIE-NAV-021,Where do I find the charts about living costs?,NAVIGATION,dev,en,higher_education_research,mixed,false
HOWIE-NAV-022,Can you locate the subsection on first-generation students?,NAVIGATION,dev,en,higher_education_research,mixed,false
HOWIE-NAV-023,Where is the glossary for these indicators?,NAVIGATION,dev,en,higher_education_research,mixed,false
HOWIE-NAV-024,Which corpus category should I search for press releases?,NAVIGATION,dev,en,higher_education_research,mixed,false
HOWIE-NAV-025,Where can I access the full PDF report?,NAVIGATION,dev,en,higher_education_research,mixed,false
HOWIE-NAV-026,Point me to the place where methods reports are stored.,NAVIGATION,test,en,higher_education_research,mixed,false
